meta_term	meta_example	literal_term	literal_example	meta_is_more_emotiona	specificity	common_hyper									
abuse	Her husband often <b>abuses</b> alcohol.	drinks	Her husband often <b>drinks</b> alcohol.	1											
ascend	Inheritance may not <b>ascend</b> linearly.	pass on	Inheritance may not <b>pass on</b> linearly.	1											
blaze	He <b>blazed</b> away at the men.	shot	He <b>shot</b> away at the men.	1	1.0	"(Synset('blast.v.07'), 1, 0, Synset('blaze_away.v.02'), Synset('blast.v.07'))"									
blaze	The spaceship <b>blazed</b> out into space.	departed	The spaceship <b>departed</b> out into space.	1	1.0	"(Synset('depart.v.03'), 1, 0, Synset('blaze.v.04'), Synset('depart.v.03'))"	"(Synset('leave.v.01'), 2, 1, Synset('blaze.v.04'), Synset('depart.v.04'))"								
blister	The Senator <b>blistered</b> the administration in his speech on Friday.	criticized	The Senator <b>criticized</b> the administration in his speech on Friday.	1	1.0	"(Synset('knock.v.06'), 2, 0, Synset('blister.v.02'), Synset('knock.v.06'))"									
boost	The tax cut will <b>boost</b> the economy.	improve	The tax cut will <b>improve</b> the economy.	1	1.0	"(Synset('change.v.01'), 2, 1, Synset('boost.v.02'), Synset('better.v.02'))"									
circulate	She <b>circulates</b> among royalty.	appears	She <b>appears</b> among royalty.	1											
cloud	Their faces were <b>clouded</b> with sadness.	marked	Their faces were <b>marked</b> with sadness.	1											
cloud	The stroke <b>clouded</b> memories of her youth.	impaired	The stroke <b>impaired</b> memories of her youth.	1	0.0	"(Synset('change.v.01'), 1, 2, Synset('cloud.v.06'), Synset('impair.v.01'))"	"(Synset('change.v.01'), 1, 2, Synset('cloud.v.06'), Synset('mar.v.01'))"								
design	She <b>designed</b> to go far in the world of business.	intended	She <b>intended</b> to go far in the world of business.	1	1.0	"(Synset('intend.v.01'), 1, 0, Synset('design.v.07'), Synset('intend.v.01'))"									
drain	Life in the camp <b>drained</b> him.	weakened	Life in the camp <b>weakened</b> him.	1	1.0	"(Synset('weaken.v.01'), 1, 0, Synset('enfeeble.v.01'), Synset('weaken.v.01'))"	"(Synset('change.v.01'), 2, 2, Synset('enfeeble.v.01'), Synset('de-escalate.v.02'))"	"(Synset('change.v.01'), 2, 2, Synset('enfeeble.v.01'), Synset('dampen.v.07'))"							
drain	The exercise class <b>drains</b> me of energy.	depletes	The exercise class <b>depletes</b> me of energy.	1	1.0	"(Synset('consume.v.05'), 1, 0, Synset('drain.v.02'), Synset('consume.v.05'))"									
exhaust	One should not <b>exhaust</b> one's savings.	use up	One should not <b>use up</b> one's savings.	1											
exhaust	We have <b>exhausted</b> the food supplies.	used up	We have <b>used up</b> the food supplies.	1											
express	Many of the laboratory animals <b>express</b> the trait.	have	Many of the laboratory animals <b>have</b> the trait.	1	2.0	"(Synset('make.v.03'), 2, 2, Synset('express.v.05'), Synset('give_birth.v.01'))"									
fasten	They <b>fastened</b> various nicknames to each other.	gave	They <b>gave</b> various nicknames to each other.	1											
fracture	These events could <b>fracture</b> the balance of power.	destroy	These events could <b>destroy</b> the balance of power.	1	1.0	"(Synset('destroy.v.01'), 1, 0, Synset('fracture.v.02'), Synset('destroy.v.01'))"									
fracture	This writer really <b>fractures</b> the language.	misuses	This writer really <b>misuses</b> the language.	1	1.0	"(Synset('pervert.v.03'), 1, 0, Synset('fracture.v.01'), Synset('pervert.v.03'))"									
gather	I <b>gather</b> you have not done your homework.	infer	I <b>infer</b> you have not done your homework.	1	2.0	"(Synset('reason.v.01'), 1, 1, Synset('gather.v.04'), Synset('deduce.v.01'))"	"(Synset('reason.v.01'), 1, 1, Synset('gather.v.04'), Synset('generalize.v.01'))"	"(Synset('reason.v.01'), 1, 1, Synset('gather.v.04'), Synset('deduce.v.02'))"	"(Synset('think.v.03'), 2, 4, Synset('gather.v.04'), Synset('understand.v.04'))"						
guard	This vaccine will <b>guard</b> you against infection.	protect	This vaccine will <b>protect</b> you against infection.	1	1.0	"(Synset('protect.v.01'), 1, 0, Synset('guard.v.02'), Synset('protect.v.01'))"	"(Synset('protect.v.01'), 1, 0, Synset('defend.v.03'), Synset('protect.v.01'))"								
gutter	Tears <b>guttered</b> down her face.	ran	Tears <b>ran</b> down her face.	1	1.0	"(Synset('run.v.06'), 1, 0, Synset('gutter.v.02'), Synset('run.v.06'))"									
lie	The fate of Bosnia <b>lies</b> in the hands of the West.	is	The fate of Bosnia <b>is</b> in the hands of the West.	1	1.0	"(Synset('be.v.03'), 1, 0, Synset('lie.v.06'), Synset('be.v.03'))"									
lock	He <b>locked</b> his hands around her neck.	encircled	He <b>encircled</b> his hands around her neck.	1											
lock	They were <b>locked</b> in embrace.	together	They were <b>together</b> in embrace.	1											
lock	He was <b>locked</b> in a laughing fit.	overwhelmed	He was <b>overwhelmed</b> in a laughing fit.	0	1.0	"(Synset('overwhelm.v.01'), 1, 0, Synset('lock.v.06'), Synset('overwhelm.v.01'))"									
peep	The new moon <b>peeped</b> through the tree tops.	appeared	The new moon <b>appeared</b> through the tree tops.	1	1.0	"(Synset('appear.v.02'), 1, 0, Synset('peep.v.05'), Synset('appear.v.02'))"									
penetrate	The hikers did not manage to <b>penetrate</b> the dense forest.	advance into	The hikers did not manage to <b>advance into</b> the dense forest.	1											
pierce	The cold <b>pierced</b> her bones.	affected	The cold <b>affected</b> her bones.	1	1.0	"(Synset('affect.v.05'), 1, 0, Synset('pierce.v.02'), Synset('affect.v.05'))"									
pierce	The scream <b>pierced</b> the night.	sounded in	The scream <b>sounded in</b> the night.	1											
pour	We <b>poured</b> money into the education of our children.	invested	We <b>invested</b> money into the education of our children.	1	0.0	"(Synset('give.v.03'), 2, 3, Synset('pour.v.05'), Synset('invest.v.01'))"	"(Synset('supply.v.01'), 1, 2, Synset('pour.v.05'), Synset('invest.v.03'))"								
pour	People were <b>pouring</b> out of the theater.	crowding	People were <b>crowding</b> out of the theater.	1	1.0	"(Synset('crowd.v.03'), 1, 0, Synset('pour.v.02'), Synset('crowd.v.03'))"									
recapture	She could not <b>recapture</b> that feeling of happiness.	recall	She could not <b>recall</b> that feeling of happiness.	1											
recast	She had to <b>recast</b> her image to please the electorate in her home state.	change	She had to <b>change</b> her image to please the electorate in her home state.	1											
rip	The tornado <b>ripped</b> along the coast.	moved	The tornado <b>moved</b> along the coast.	1	1.0	"(Synset('travel.v.01'), 3, 0, Synset('rip.v.02'), Synset('travel.v.01'))"									
rip	The candidate <b>ripped</b> into his opponent mercilessly.	criticized	The candidate <b>criticized</b> into his opponent mercilessly.	1	1.0	"(Synset('knock.v.06'), 2, 0, Synset('rip.v.04'), Synset('knock.v.06'))"									
ruffle	She wanted to <b>ruffle</b> his composure.	disturb	She wanted to <b>disturb</b> his composure.	1											
ruffle	This play is going to <b>ruffle</b> some people.	disturb	This play is going to distrurb some people.	1											
sell	The French try to <b>sell</b> us their image as great lovers.	convince us of	The French try to <b>convince us of</b> their image as great lovers.	0											
shake	I couldn't <b>shake</b> the car that was following me.	escape	I couldn't <b>escape</b> the car that was following me.	1	1.0	"(Synset('escape.v.01'), 1, 0, Synset('shake.v.07'), Synset('escape.v.01'))"	"(Synset('escape.v.01'), 1, 1, Synset('shake.v.07'), Synset('escape.v.05'))"	"(Synset('scat.v.01'), 3, 0, Synset('shake.v.07'), Synset('scat.v.01'))"							
shake	The bad news <b>shook</b> her hopes.	weakened	The bad news <b>weakened</b> her hopes.	1	1.0	"(Synset('weaken.v.01'), 1, 0, Synset('shake.v.05'), Synset('weaken.v.01'))"	"(Synset('change.v.01'), 2, 2, Synset('shake.v.05'), Synset('de-escalate.v.02'))"	"(Synset('change.v.01'), 2, 2, Synset('shake.v.05'), Synset('dampen.v.07'))"							
shed	He <b>shed</b> his image as a pushy boss.	dispelled	He <b>dispelled</b> his image as a pushy boss.	0											
shipwreck	You have <b>shipwrecked</b> my career.	ruined	You have <b>ruined</b> my career.	1	1.0	"(Synset('ruin.v.02'), 1, 0, Synset('shipwreck.v.01'), Synset('ruin.v.02'))"									
sign	He <b>signed</b> his disapproval with a dismissive hand gesture.	communicated	He <b>communicated</b> his disapproval with a dismissive hand gesture.	1	1.0	"(Synset('communicate.v.02'), 1, 0, Synset('sign.v.05'), Synset('communicate.v.02'))"	"(Synset('interact.v.01'), 2, 1, Synset('sign.v.05'), Synset('communicate.v.05'))"								
splash	The mountain was <b>splashed</b> with snow.	spotted	The mountain was <b>spotted</b> with snow.	1											
stagger	She was <b>staggered</b> with bills after she tried to rebuild her house following the earthquake.	overwhelmed	She was <b>overwhelmed</b> with bills after she tried to rebuild her house following the earthquake.	0	1.0	"(Synset('overwhelm.v.01'), 1, 0, Synset('stagger.v.04'), Synset('overwhelm.v.01'))"									
stoop	I won't <b>stoop</b> to reading other people's mail.	condescend	I won't <b>condescend</b> to reading other people's mail.	0	2.0	"(Synset('act.v.01'), 1, 1, Synset('condescend.v.03'), Synset('condescend.v.01'))"	"(Synset('act.v.01'), 1, 1, Synset('condescend.v.03'), Synset('condescend.v.02'))"	"(Synset('condescend.v.03'), 0, 0, Synset('condescend.v.03'), Synset('condescend.v.03'))"	"(Synset('act.v.01'), 1, 2, Synset('condescend.v.03'), Synset('patronize.v.03'))"						
talk	Actions <b>talk</b> louder than words.	communicate	Actions <b>communicate</b> louder than words.	0	1.0	"(Synset('communicate.v.02'), 1, 0, Synset('talk.v.01'), Synset('communicate.v.02'))"	"(Synset('interact.v.01'), 2, 1, Synset('talk.v.01'), Synset('communicate.v.05'))"								
tax	You are <b>taxing</b> my patience.	straining	You are <b>straining</b> my patience.	0	1.0	"(Synset('strain.v.03'), 1, 0, Synset('tax.v.03'), Synset('strain.v.03'))"									
uproot	The war <b>uprooted</b> many people.	displaced	The war <b>displaced</b> many people.	1	1.0	"(Synset('displace.v.01'), 1, 0, Synset('uproot.v.01'), Synset('displace.v.01'))"	"(Synset('move.v.02'), 2, 0, Synset('uproot.v.01'), Synset('move.v.02'))"								
uproot	The vestiges of political democracy were soon uprooted.	destroyed	The vestiges of political democracy were soon destroyed.	0	1.0	"(Synset('destroy.v.01'), 1, 0, Synset('uproot.v.02'), Synset('destroy.v.01'))"									
visit	The principal <b>visited</b> his rage on the students.	inflicted	The principal <b>inflicted</b> his rage on the students.	0	2.0	"(Synset('inflict.v.01'), 0, 0, Synset('inflict.v.01'), Synset('inflict.v.01'))"									
visit	He was <b>visited</b> with a terrible illness that killed him quickly.	afflicted	He was <b>afflicted</b> with a terrible illness that killed him quickly.	0	1.0	"(Synset('afflict.v.02'), 1, 0, Synset('visit.v.08'), Synset('afflict.v.02'))"									
waste	He <b>wasted</b> his inheritance on his insincere friends.	squandered	He <b>squandered</b> his inheritance on his insincere friends.	0	2.0	"(Synset('waste.v.01'), 0, 0, Synset('waste.v.01'), Synset('waste.v.01'))"									
wrestle	He <b>wrestled</b> all his life with his feeling of inferiority.	dealt	He <b>dealt</b> all his life with his feeling of inferiority.	1											
wrestle	I <b>wrestled</b> with this decision for years.	pondered	I <b>pondered</b> this decision for years.	1											
amount	This idea will never <b>amount to</b> anything.	result	This idea will never <b>result in</b> anything.	0											
answer	The steering of my new car <b>answers</b> to the slightest touch.	react	The steering of my new car <b>reacts</b> to the slightest touch.	1	1.0	"(Synset('react.v.01'), 1, 0, Synset('answer.v.10'), Synset('react.v.01'))"	"(Synset('act.v.01'), 2, 1, Synset('answer.v.10'), Synset('react.v.02'))"								
attack	I <b>attacked</b> the problem as soon as I got out of bed.	start	I <b>started on</b> the problem as soon as I got out of bed.	1	1.0	"(Synset('get_down.v.07'), 1, 0, Synset('attack.v.05'), Synset('get_down.v.07'))"									
blast	She tended to <b>blast</b> when speaking into a microphone.	shout	She tended to <b>shout</b> when speaking into a microphone.	1											
blur	The distinction between the two theories <b>blurred</b>.	decrease	The distinction between the two theories <b>decreased</b>.	1	1.0	"(Synset('decrease.v.01'), 2, 0, Synset('blur.v.06'), Synset('decrease.v.01'))"									
breathe	Our new synthetic fabric <b>breathes</b> and is perfect for summer wear.	pass air	Our new synthetic fabric <b>passes air</b> and is perfect for summer wear.	1											
breathe	He <b>breathed</b> new life into the old house.	instil	He <b>instilled</b> new life into the old house.	1											
buzz	He <b>buzzed</b> the servant.	summon	He <b>summoned</b> the servant.	0	1.0	"(Synset('call.v.05'), 2, 1, Synset('buzz.v.04'), Synset('summon.v.01'))"	"(Synset('summon.v.02'), 1, 0, Synset('buzz.v.04'), Synset('summon.v.02'))"								
buzz	This office is <b>buzzing</b> with activity.	bustle	This office is <b>bustling</b> with activity.	0											
clap	The judge <b>clapped</b> him in jail.	put	The judge <b>put</b> him in jail.	1	1.0	"(Synset('put.v.01'), 1, 0, Synset('clap.v.01'), Synset('put.v.01'))"									
climb	This young man knows how to <b>climb</b> the social ladder.	progress	This young man knows how to <b>progress on</b> the social ladder.	1	1.0	"(Synset('progress.v.01'), 1, 0, Synset('climb.v.05'), Synset('progress.v.01'))"	"(Synset('develop.v.10'), 2, 1, Synset('climb.v.05'), Synset('build_up.v.02'))"								
climb	Sales were <b>climbing</b> after prices were lowered.	increase	Sales were <b>increasing</b> after prices were lowered.	1	1.0	"(Synset('increase.v.01'), 1, 0, Synset('wax.v.02'), Synset('increase.v.01'))"									
color	My personal feelings <b>color</b> my judgment in this case.	affect	My personal feelings <b>affect</b> my judgment in this case.	1	1.0	"(Synset('affect.v.01'), 1, 0, Synset('tinge.v.01'), Synset('affect.v.01'))"	"(Synset('change.v.01'), 2, 1, Synset('tinge.v.01'), Synset('affect.v.02'))"								
communicate	The rooms <b>communicated</b>.	connect	The rooms <b>were connected</b>.	1	1.0	"(Synset('connect.v.03'), 3, 0, Synset('communicate.v.04'), Synset('connect.v.03'))"									
convulse	The comedian <b>convulsed</b> the crowd.	amuse	The comedian <b>amused</b> the crowd.	1	1.0	"(Synset('amuse.v.02'), 1, 0, Synset('convulse.v.01'), Synset('amuse.v.02'))"									
crown	The speech <b>crowned</b> the meeting.	culminate	The speech <b>culminated</b> the meeting.	1	1.0	"(Synset('culminate.v.01'), 1, 0, Synset('crown.v.02'), Synset('culminate.v.01'))"									
crown	A weather vane <b>crowns</b> the building.	top	A weather vane <b>tops</b> the building.	1	1.0	"(Synset('lie.v.01'), 2, 1, Synset('crown.v.03'), Synset('top.v.03'))"									
crush	She was <b>crushed</b> by his refusal of her invitation.	sadden	She was <b>saddened</b> by his refusal of her invitation.	1											
dawn	It <b>dawned on</b> him that she had betrayed him.	occur	It <b>occurred to</b> him that she had betrayed him.	1											
dawn	The age of computers had <b>dawned</b>.	begin	The age of computers had <b>begun</b>.	1	1.0	"(Synset('begin.v.02'), 1, 0, Synset('dawn.v.02'), Synset('begin.v.02'))"									
deflate	The new measures <b>deflated</b> the economy.	reduce	The new measures <b>reduced</b> the economy.	1	1.0	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('reduce.v.01'))"	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('reduce.v.02'))"	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('reduce.v.04'))"	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('shrink.v.03'))"	"(Synset('change.v.01'), 1, 3, Synset('deflate.v.04'), Synset('reduce.v.09'))"	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('reduce.v.15'))"	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('abridge.v.01'))"	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('reduce.v.18'))"	"(Synset('change.v.01'), 1, 2, Synset('deflate.v.04'), Synset('dilute.v.01'))"	
devour	Fire had <b>devoured</b> our home.	destroy	Fire had <b>destroyed</b> our home.	1	1.0	"(Synset('destroy.v.02'), 1, 0, Synset('devour.v.01'), Synset('destroy.v.02'))"									
devour	She <b>devoured</b> his novels.	enjoy	She <b>enjoyed</b> his novels.	1	1.0	"(Synset('enjoy.v.01'), 1, 0, Synset('devour.v.02'), Synset('enjoy.v.01'))"									
digest	The government <b>digested</b> the entire law into a code.	systematize	The government <b>systematized</b> the entire law into a code.	1	1.0	"(Synset('systematize.v.01'), 1, 0, Synset('digest.v.05'), Synset('systematize.v.01'))"									
drift	Stock prices are <b>drifting</b> higher.	become	Stock prices are <b>becoming</b> higher.	1											
drink	The mother <b>drinks in</b> every word of her son on the stage.	listen carefully	The mother <b>listens carefully to</b> every word of her son on the stage.	1											
drown	I was <b>drowned in</b> work.	overwhelm	I was <b>overwhelmed by</b> work.	1	2.0	"(Synset('submerge.v.02'), 0, 0, Synset('submerge.v.02'), Synset('submerge.v.02'))"									
drown	She <b>drowned</b> her trouble in alcohol.	forget	She <b>forgot</b> her trouble in alcohol.	1											
dull	Middle age <b>dulled</b> her appetite for travel.	decrease	Middle age <b>decreased</b> her appetite for travel.	1	1.0	"(Synset('decrease.v.01'), 2, 0, Synset('dull.v.07'), Synset('decrease.v.01'))"									
dump	The company <b>dumped</b> him after many years of service.	dismiss	The company <b>dismissed</b> him after many years of service.	1											
emerge	Some nice results <b>emerged</b> from the study.	appear	Some nice results <b>appeared</b> from the study.	1	1.0	"(Synset('appear.v.02'), 1, 0, Synset('emerge.v.03'), Synset('appear.v.02'))"									
engrave	The event <b>engraved itself into</b> her memory.	stay	The event <b>stayed in</b> her memory.	1											
